Age,Fare,Fare_Ratio_To_Class,SibSp,Parch,FamilySize,Pclass,Sex,Sex_Pclass,Embarked,Title,SocialStatus,IsAlone,Cabin_Letter,Age_Group,Has_Cabin,FamilySize_Cat,Has_Child,Has_Spouse,True,Predicted
22.0,7.225,0.8975155279503104,0,0,1,3,male,male_3,C,Mr,lower,1,U,Young Adult,0,Alone,0,0,1,0
36.0,17.4,2.1614906832298133,1,0,2,3,female,female_3,S,Mrs,lower,0,U,Adult,0,Small,0,1,1,0
45.0,26.55,0.44038979888036495,0,0,1,1,male,male_1,S,Major,upper,1,B,Adult,1,Alone,0,0,0,1
35.0,20.25,2.5155279503105588,1,1,3,3,female,female_3,S,Mrs,lower,0,U,Young Adult,0,Small,1,1,1,0
29.0,7.8958,0.9808447204968944,0,0,1,3,male,male_3,C,Mr,lower,1,U,Young Adult,0,Alone,0,0,1,0
70.0,71.0,1.177690234294008,1,1,3,1,male,male_1,S,Capt,upper,0,B,Senior,1,Small,1,1,0,1
2.0,151.55,2.5137880986937593,1,2,4,1,female,female_1,S,Miss,upper,0,C,Child,1,Medium,1,1,0,1
,7.6292,0.9477267080745341,0,0,1,3,female,female_3,Q,Miss,lower,1,U,,0,Alone,0,0,0,1
,13.0,0.9122807017543859,0,0,1,2,male,male_2,S,Mr,middle,1,U,,0,Alone,0,0,1,0
36.0,512.3292,8.498099937798052,0,1,2,1,male,male_1,C,Mr,upper,0,B,Adult,1,Small,1,0,1,0
34.0,26.55,0.44038979888036495,0,0,1,1,male,male_1,S,Mr,upper,1,U,Young Adult,0,Alone,0,0,1,0
,14.4583,1.796062111801242,1,0,2,3,female,female_3,C,Mrs,lower,0,U,,0,Small,0,1,0,1
,7.75,0.9627329192546583,0,2,3,3,female,female_3,Q,Miss,lower,0,U,,0,Small,1,0,0,1
21.0,7.75,0.9627329192546583,0,0,1,3,female,female_3,Q,Miss,lower,1,U,Young Adult,0,Alone,0,0,0,1
46.0,61.175,1.0147211279286752,1,0,2,1,male,male_1,S,Mr,upper,0,E,Adult,1,Small,0,1,0,1
,16.1,2.0,1,0,2,3,female,female_3,S,Mrs,lower,0,U,,0,Small,0,1,1,0
30.0,27.75,0.46029442255857356,0,0,1,1,male,male_1,C,Mr,upper,1,C,Young Adult,1,Alone,0,0,0,1
45.0,35.5,0.588845117147004,0,0,1,1,male,male_1,S,Mr,upper,1,C,Adult,1,Alone,0,0,1,0
62.0,10.5,0.7368421052631579,0,0,1,2,male,male_2,S,Mr,middle,1,U,Senior,0,Alone,0,0,1,0
45.0,83.475,1.3846153846153846,1,0,2,1,male,male_1,S,Mr,upper,0,C,Adult,1,Small,0,1,0,1
25.0,0.0,0.0,0,0,1,3,male,male_3,S,Mr,lower,1,U,Young Adult,0,Alone,0,0,1,0
28.0,35.5,0.588845117147004,0,0,1,1,male,male_1,S,Mr,upper,1,A,Young Adult,1,Alone,0,0,1,0
44.0,90.0,1.4928467758656438,2,0,3,1,male,male_1,Q,Dr,upper,0,C,Adult,1,Small,0,1,0,1
27.0,7.7958,0.9684223602484471,0,0,1,3,male,male_3,S,Mr,lower,1,U,Young Adult,0,Alone,0,0,1,0
29.0,66.6,1.1047066141405764,1,0,2,1,male,male_1,S,Mr,upper,0,C,Young Adult,1,Small,0,1,0,1
27.0,30.5,0.5059091851544683,0,0,1,1,male,male_1,S,Mr,upper,1,U,Young Adult,0,Alone,0,0,1,0
,56.4958,7.018111801242235,0,0,1,3,male,male_3,S,Mr,lower,1,U,,0,Alone,0,0,0,1
,8.1125,1.0077639751552796,0,0,1,3,male,male_3,S,Mr,lower,1,U,,0,Alone,0,0,1,0
31.0,52.0,0.862533692722372,1,0,2,1,male,male_1,S,Mr,upper,0,B,Young Adult,1,Small,0,1,0,1
37.0,53.1,0.8807795977607299,1,0,2,1,male,male_1,S,Mr,upper,0,C,Adult,1,Small,0,1,0,1
60.0,79.2,1.3137051627617666,1,1,3,1,male,male_1,C,Mr,upper,0,B,Adult,1,Small,1,1,1,0
27.0,6.975,0.8664596273291925,0,0,1,3,male,male_3,S,Mr,lower,1,U,Young Adult,0,Alone,0,0,1,0
14.0,11.2417,1.3964844720496894,1,0,2,3,female,female_3,C,Miss,lower,0,U,Teen,0,Small,0,1,1,0
55.0,30.5,0.5059091851544683,0,0,1,1,male,male_1,S,Mr,upper,1,C,Adult,1,Alone,0,0,0,1
24.0,13.0,0.9122807017543859,0,0,1,2,female,female_2,S,Miss,middle,1,U,Young Adult,0,Alone,0,0,0,1
24.0,15.85,1.9689440993788818,1,0,2,3,female,female_3,S,Mrs,lower,0,U,Young Adult,0,Small,0,1,1,0
